Name,yt_name,Link,start_min,start_sec,end_min,end_sec
Bible,Bible,https://talkinghands.co.in/sites/default/files/islvideos/Bible.webm,0,0,0,3
Birth,Birth,https://talkinghands.co.in/sites/default/files/islvideos/Birth.webm,0,0,0,2
Birth-Child,Birth-Child,https://talkinghands.co.in/sites/default/files/islvideos/Birth-Child.webm,0,0,0,2
birthday,birthday,https://youtu.be/gZ8N1iYkH34,0,0,0,2
Birthday,Birthday,https://talkinghands.co.in/sites/default/files/islvideos/Birthday.webm,0,0,0,3
Bite -alternate,Bite -alternate,https://talkinghands.co.in/sites/default/files/islvideos/Bite%20-alternate.webm,0,0,0,2
Bitter,Bitter,https://talkinghands.co.in/sites/default/files/islvideos/Bitter.webm,0,0,0,2
Black,Black,https://talkinghands.co.in/sites/default/files/islvideos/Black.webm,0,0,0,2
Black-2,Black-2,https://talkinghands.co.in/sites/default/files/islvideos/Black-2.webm,0,0,0,3
BlackBoard,BlackBoard,https://talkinghands.co.in/sites/default/files/islvideos/BlackBoard.webm,0,0,0,3
Blanket,Blanket,https://talkinghands.co.in/sites/default/files/islvideos/Blanket.webm,0,0,0,3
Blood,Blood,https://talkinghands.co.in/sites/default/files/islvideos/Blood.webm,0,0,0,3
blood pressure,blood pressure,https://talkinghands.co.in/sites/default/files/islvideos/blood pressure.webm,0,0,0,3
Blue,Blue,https://talkinghands.co.in/sites/default/files/islvideos/Blue.webm,0,0,0,3
Bluetooth,Bluetooth,https://talkinghands.co.in/sites/default/files/islvideos/Bluetooth.webm,0,0,0,3
Boat,Boat,https://talkinghands.co.in/sites/default/files/islvideos/Boat.webm,0,0,0,3
Body,Body,https://talkinghands.co.in/sites/default/files/islvideos/Body.webm,0,0,0,3
Body Spray,Body Spray,https://talkinghands.co.in/sites/default/files/islvideos/Body_Spray.webm,0,0,0,3
bogie,bogie,https://talkinghands.co.in/sites/default/files/islvideos/bogie.webm,0,0,0,4
Bolcony,Bolcony,https://talkinghands.co.in/sites/default/files/islvideos/Bolcony.webm,0,0,0,4
Bold,Bold,https://talkinghands.co.in/sites/default/files/islvideos/Bold.webm,0,0,0,3
Bolt,Bolt,https://talkinghands.co.in/sites/default/files/islvideos/Bolt.webm,0,0,0,2
Bone,Bone,https://talkinghands.co.in/sites/default/files/islvideos/Bone.webm,0,0,0,3
book,book,https://youtu.be/l2ytof4d1r0,0,0,0,1
Book,Book,https://talkinghands.co.in/sites/default/files/islvideos/Book.webm,0,0,0,2
Bore,Bore,https://talkinghands.co.in/sites/default/files/islvideos/Bore.webm,0,0,0,4
Boss,Boss,https://talkinghands.co.in/sites/default/files/islvideos/Boss.webm,0,0,0,3
bottle,bottle,https://youtu.be/Qk6lwjDDsns,0,0,0,2
Bottle,Bottle,https://talkinghands.co.in/sites/default/files/islvideos/Bottle.webm,0,0,0,2
Bowl,Bowl,https://talkinghands.co.in/sites/default/files/islvideos/Bowl.webm,0,0,0,2
Boxing,Boxing,https://talkinghands.co.in/sites/default/files/islvideos/Boxing.webm,0,0,0,2
boy,boy,https://youtu.be/Yiu0Yd9fSk8,0,0,0,3
Boy,Boy,https://talkinghands.co.in/sites/default/files/islvideos/Boy.webm,0,0,0,2
boy_2,boy_2,https://talkinghands.co.in/sites/default/files/islvideos/boy_2.webm,0,0,0,3
Brain,Brain,https://talkinghands.co.in/sites/default/files/islvideos/Brain.webm,0,0,0,3
Brass,Brass,https://talkinghands.co.in/sites/default/files/islvideos/Brass.webm,0,0,0,3
Brave,Brave,https://talkinghands.co.in/sites/default/files/islvideos/Brave.webm,0,0,0,3
Bread,Bread,https://talkinghands.co.in/sites/default/files/islvideos/Bread.webm,0,0,0,3
Breakfast-1,Breakfast-1,https://talkinghands.co.in/sites/default/files/islvideos/Breakfast-1.webm,0,0,0,2
Breathe,Breathe,https://talkinghands.co.in/sites/default/files/islvideos/Breathe.webm,0,0,0,3
Brick,Brick,https://talkinghands.co.in/sites/default/files/islvideos/Brick.webm,0,0,0,2
Bridge,Bridge,https://talkinghands.co.in/sites/default/files/islvideos/Bridge.webm,0,0,0,2
brother,brother,https://youtu.be/rOcFkQzLhLQ,0,0,0,4
Brother,Brother,https://talkinghands.co.in/sites/default/files/islvideos/Brother.webm,0,0,0,2
brother in law2,brother in law2,https://talkinghands.co.in/sites/default/files/islvideos/brother_in_law2.webm,0,0,0,4
brother_2,brother_2,https://talkinghands.co.in/sites/default/files/islvideos/brother_2.webm,0,0,0,3
Brother-in-Law,Brother-in-Law,https://talkinghands.co.in/sites/default/files/islvideos/Brother-in-Law.webm,0,0,0,4
